date,hospital_id,blood_group,units_used,emergency_units_used,scheduled_surgery_units,trauma_units,day_of_week,month,season,festival_flag,disease_spike_flag
2024-01-01,HOSP_001,A_POS,3,1,1,1,Monday,1,Winter,1,0
2024-01-01,HOSP_001,A_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_001,B_POS,6,3,0,3,Monday,1,Winter,1,0
2024-01-01,HOSP_001,B_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_001,AB_POS,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_001,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_001,O_POS,4,0,3,1,Monday,1,Winter,1,0
2024-01-01,HOSP_001,O_NEG,1,0,0,1,Monday,1,Winter,1,0
2024-01-01,HOSP_002,A_POS,3,0,3,0,Monday,1,Winter,1,0
2024-01-01,HOSP_002,A_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_002,B_POS,1,0,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_002,B_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_002,AB_POS,1,0,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_002,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_002,O_POS,8,0,6,2,Monday,1,Winter,1,0
2024-01-01,HOSP_002,O_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_003,A_POS,18,4,11,3,Monday,1,Winter,1,0
2024-01-01,HOSP_003,A_NEG,1,1,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_003,B_POS,12,0,5,7,Monday,1,Winter,1,0
2024-01-01,HOSP_003,B_NEG,1,1,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_003,AB_POS,1,0,0,1,Monday,1,Winter,1,0
2024-01-01,HOSP_003,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_003,O_POS,21,3,6,12,Monday,1,Winter,1,0
2024-01-01,HOSP_003,O_NEG,2,1,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_004,A_POS,4,2,2,0,Monday,1,Winter,1,0
2024-01-01,HOSP_004,A_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_004,B_POS,3,1,2,0,Monday,1,Winter,1,0
2024-01-01,HOSP_004,B_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_004,AB_POS,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_004,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_004,O_POS,6,0,5,1,Monday,1,Winter,1,0
2024-01-01,HOSP_004,O_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_005,A_POS,13,2,7,4,Monday,1,Winter,1,0
2024-01-01,HOSP_005,A_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_005,B_POS,12,1,10,1,Monday,1,Winter,1,0
2024-01-01,HOSP_005,B_NEG,1,0,0,1,Monday,1,Winter,1,0
2024-01-01,HOSP_005,AB_POS,4,0,3,1,Monday,1,Winter,1,0
2024-01-01,HOSP_005,AB_NEG,1,0,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_005,O_POS,19,4,10,5,Monday,1,Winter,1,0
2024-01-01,HOSP_005,O_NEG,2,0,1,1,Monday,1,Winter,1,0
2024-01-01,HOSP_006,A_POS,11,2,5,4,Monday,1,Winter,1,0
2024-01-01,HOSP_006,A_NEG,1,0,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_006,B_POS,18,3,8,7,Monday,1,Winter,1,0
2024-01-01,HOSP_006,B_NEG,1,0,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_006,AB_POS,2,0,1,1,Monday,1,Winter,1,0
2024-01-01,HOSP_006,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_006,O_POS,23,5,12,6,Monday,1,Winter,1,0
2024-01-01,HOSP_006,O_NEG,5,2,1,2,Monday,1,Winter,1,0
2024-01-01,HOSP_007,A_POS,8,1,4,3,Monday,1,Winter,1,0
2024-01-01,HOSP_007,A_NEG,1,0,0,1,Monday,1,Winter,1,0
2024-01-01,HOSP_007,B_POS,10,2,5,3,Monday,1,Winter,1,0
2024-01-01,HOSP_007,B_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_007,AB_POS,3,1,0,2,Monday,1,Winter,1,0
2024-01-01,HOSP_007,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_007,O_POS,13,0,2,11,Monday,1,Winter,1,0
2024-01-01,HOSP_007,O_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_008,A_POS,16,2,8,6,Monday,1,Winter,1,0
2024-01-01,HOSP_008,A_NEG,1,0,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_008,B_POS,8,3,3,2,Monday,1,Winter,1,0
2024-01-01,HOSP_008,B_NEG,1,0,0,1,Monday,1,Winter,1,0
2024-01-01,HOSP_008,AB_POS,1,1,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_008,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_008,O_POS,11,5,2,4,Monday,1,Winter,1,0
2024-01-01,HOSP_008,O_NEG,5,0,2,3,Monday,1,Winter,1,0
2024-01-01,HOSP_009,A_POS,7,1,4,2,Monday,1,Winter,1,0
2024-01-01,HOSP_009,A_NEG,2,1,0,1,Monday,1,Winter,1,0
2024-01-01,HOSP_009,B_POS,10,0,6,4,Monday,1,Winter,1,0
2024-01-01,HOSP_009,B_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_009,AB_POS,1,0,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_009,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_009,O_POS,18,0,11,7,Monday,1,Winter,1,0
2024-01-01,HOSP_009,O_NEG,2,1,0,1,Monday,1,Winter,1,0
2024-01-01,HOSP_010,A_POS,6,2,1,3,Monday,1,Winter,1,0
2024-01-01,HOSP_010,A_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_010,B_POS,4,0,3,1,Monday,1,Winter,1,0
2024-01-01,HOSP_010,B_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_010,AB_POS,1,0,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_010,AB_NEG,1,0,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_010,O_POS,18,3,5,10,Monday,1,Winter,1,0
2024-01-01,HOSP_010,O_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_011,A_POS,19,5,6,8,Monday,1,Winter,1,0
2024-01-01,HOSP_011,A_NEG,1,0,0,1,Monday,1,Winter,1,0
2024-01-01,HOSP_011,B_POS,13,1,7,5,Monday,1,Winter,1,0
2024-01-01,HOSP_011,B_NEG,1,0,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_011,AB_POS,3,0,1,2,Monday,1,Winter,1,0
2024-01-01,HOSP_011,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_011,O_POS,14,0,2,12,Monday,1,Winter,1,0
2024-01-01,HOSP_011,O_NEG,3,0,1,2,Monday,1,Winter,1,0
2024-01-01,HOSP_012,A_POS,6,1,3,2,Monday,1,Winter,1,0
2024-01-01,HOSP_012,A_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_012,B_POS,3,1,0,2,Monday,1,Winter,1,0
2024-01-01,HOSP_012,B_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_012,AB_POS,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_012,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_012,O_POS,5,1,3,1,Monday,1,Winter,1,0
2024-01-01,HOSP_012,O_NEG,2,0,2,0,Monday,1,Winter,1,0
2024-01-01,HOSP_013,A_POS,7,1,3,3,Monday,1,Winter,1,0
2024-01-01,HOSP_013,A_NEG,1,1,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_013,B_POS,6,0,3,3,Monday,1,Winter,1,0
2024-01-01,HOSP_013,B_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_013,AB_POS,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_013,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_013,O_POS,7,0,5,2,Monday,1,Winter,1,0
2024-01-01,HOSP_013,O_NEG,1,1,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_014,A_POS,22,5,13,4,Monday,1,Winter,1,0
2024-01-01,HOSP_014,A_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_014,B_POS,17,2,11,4,Monday,1,Winter,1,0
2024-01-01,HOSP_014,B_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_014,AB_POS,3,0,3,0,Monday,1,Winter,1,0
2024-01-01,HOSP_014,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_014,O_POS,17,0,12,5,Monday,1,Winter,1,0
2024-01-01,HOSP_014,O_NEG,2,1,0,1,Monday,1,Winter,1,0
2024-01-01,HOSP_015,A_POS,6,1,4,1,Monday,1,Winter,1,0
2024-01-01,HOSP_015,A_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_015,B_POS,7,2,1,4,Monday,1,Winter,1,0
2024-01-01,HOSP_015,B_NEG,1,0,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_015,AB_POS,3,0,2,1,Monday,1,Winter,1,0
2024-01-01,HOSP_015,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_015,O_POS,13,2,7,4,Monday,1,Winter,1,0
2024-01-01,HOSP_015,O_NEG,1,0,0,1,Monday,1,Winter,1,0
2024-01-01,HOSP_016,A_POS,10,1,7,2,Monday,1,Winter,1,0
2024-01-01,HOSP_016,A_NEG,1,0,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_016,B_POS,6,1,4,1,Monday,1,Winter,1,0
2024-01-01,HOSP_016,B_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_016,AB_POS,2,1,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_016,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_016,O_POS,25,6,8,11,Monday,1,Winter,1,0
2024-01-01,HOSP_016,O_NEG,4,0,4,0,Monday,1,Winter,1,0
2024-01-01,HOSP_017,A_POS,20,5,12,3,Monday,1,Winter,1,0
2024-01-01,HOSP_017,A_NEG,3,1,1,1,Monday,1,Winter,1,0
2024-01-01,HOSP_017,B_POS,11,4,6,1,Monday,1,Winter,1,0
2024-01-01,HOSP_017,B_NEG,1,0,0,1,Monday,1,Winter,1,0
2024-01-01,HOSP_017,AB_POS,6,0,4,2,Monday,1,Winter,1,0
2024-01-01,HOSP_017,AB_NEG,1,0,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_017,O_POS,20,4,11,5,Monday,1,Winter,1,0
2024-01-01,HOSP_017,O_NEG,3,0,1,2,Monday,1,Winter,1,0
2024-01-01,HOSP_018,A_POS,15,7,5,3,Monday,1,Winter,1,0
2024-01-01,HOSP_018,A_NEG,1,0,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_018,B_POS,8,1,3,4,Monday,1,Winter,1,0
2024-01-01,HOSP_018,B_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_018,AB_POS,4,0,1,3,Monday,1,Winter,1,0
2024-01-01,HOSP_018,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_018,O_POS,16,5,8,3,Monday,1,Winter,1,0
2024-01-01,HOSP_018,O_NEG,3,0,3,0,Monday,1,Winter,1,0
2024-01-01,HOSP_019,A_POS,6,0,2,4,Monday,1,Winter,1,0
2024-01-01,HOSP_019,A_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_019,B_POS,5,1,2,2,Monday,1,Winter,1,0
2024-01-01,HOSP_019,B_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_019,AB_POS,2,0,2,0,Monday,1,Winter,1,0
2024-01-01,HOSP_019,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_019,O_POS,9,3,4,2,Monday,1,Winter,1,0
2024-01-01,HOSP_019,O_NEG,1,0,0,1,Monday,1,Winter,1,0
2024-01-01,HOSP_020,A_POS,15,3,7,5,Monday,1,Winter,1,0
2024-01-01,HOSP_020,A_NEG,2,1,1,0,Monday,1,Winter,1,0
2024-01-01,HOSP_020,B_POS,9,1,5,3,Monday,1,Winter,1,0
2024-01-01,HOSP_020,B_NEG,2,0,2,0,Monday,1,Winter,1,0
2024-01-01,HOSP_020,AB_POS,2,0,0,2,Monday,1,Winter,1,0
2024-01-01,HOSP_020,AB_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_020,O_POS,16,7,5,4,Monday,1,Winter,1,0
2024-01-01,HOSP_020,O_NEG,2,1,0,1,Monday,1,Winter,1,0
2024-01-01,HOSP_021,A_POS,4,2,0,2,Monday,1,Winter,1,0
2024-01-01,HOSP_021,A_NEG,3,1,1,1,Monday,1,Winter,1,0
2024-01-01,HOSP_021,B_POS,6,1,1,4,Monday,1,Winter,1,0
2024-01-01,HOSP_021,B_NEG,0,0,0,0,Monday,1,Winter,1,0
2024-01-01,HOSP_021,AB_POS,3,2,1,0,Monday,1,Winter,1,0
