event_id,timestamp,location_id,event_type,severity,affected_hospitals,estimated_patients,blood_demand_multiplier,duration_hours
EVT_0001,2024-01-02 02:45:00,BB_005,blood_bank_failure,Minor,"HOSP_017,HOSP_002,HOSP_026,HOSP_009",6,1.0,5
EVT_0002,2024-01-03 10:00:00,SECTOR_08,road_accident,Moderate,"HOSP_030,HOSP_028,HOSP_003",22,1.52,10
EVT_0003,2024-01-04 04:00:00,CORRIDOR_CENTRAL,transport_disruption,Moderate,"HOSP_010,HOSP_006,HOSP_025",33,1.0,13
EVT_0004,2024-01-05 08:00:00,METRO_DISTRICT_A,disease_spike,Minor,"HOSP_015,HOSP_026,HOSP_012,HOSP_019",10,1.17,2
EVT_0005,2024-01-10 22:30:00,METRO_DISTRICT_B,surgery_surge,Severe,"HOSP_011,HOSP_009,HOSP_017,HOSP_024,HOSP_002",38,2.13,15
EVT_0006,2024-01-12 02:00:00,METRO_DISTRICT_D,surgery_surge,Severe,"HOSP_023,HOSP_008,HOSP_019,HOSP_021,HOSP_007",53,2.29,13
EVT_0007,2024-01-12 00:30:00,SECTOR_13,road_accident,Minor,"HOSP_022,HOSP_004",12,1.2,5
EVT_0008,2024-01-16 17:30:00,BB_008,blood_bank_failure,Moderate,"HOSP_017,HOSP_001,HOSP_016",18,1.0,16
EVT_0009,2024-01-25 18:00:00,METRO_DISTRICT_A,disease_spike,Critical,"HOSP_013,HOSP_024,HOSP_029",120,3.25,41
EVT_0010,2024-01-30 04:15:00,SECTOR_02,road_accident,Minor,"HOSP_011,HOSP_008,HOSP_029",12,1.21,5
EVT_0011,2024-02-01 06:45:00,METRO_DISTRICT_B,disease_spike,Moderate,"HOSP_020,HOSP_008,HOSP_029,HOSP_010,HOSP_023,HOSP_014",33,1.54,8
EVT_0012,2024-02-04 16:30:00,SECTOR_07,road_accident,Minor,"HOSP_030,HOSP_025",7,1.31,5
EVT_0013,2024-02-05 02:15:00,METRO_DISTRICT_A,surgery_surge,Moderate,"HOSP_018,HOSP_026,HOSP_022,HOSP_013,HOSP_021,HOSP_012",34,1.65,15
EVT_0014,2024-02-05 14:15:00,SECTOR_07,industrial_accident,Severe,"HOSP_022,HOSP_008,HOSP_029",52,1.98,21
EVT_0015,2024-02-09 06:00:00,BB_009,blood_bank_failure,Minor,"HOSP_017,HOSP_023,HOSP_027,HOSP_011",4,1.0,4
EVT_0016,2024-02-09 06:15:00,SECTOR_06,industrial_accident,Moderate,"HOSP_011,HOSP_026",35,1.52,13
EVT_0017,2024-02-14 12:00:00,SECTOR_03,mass_casualty,Minor,"HOSP_022,HOSP_027,HOSP_019",10,1.15,6
EVT_0018,2024-02-16 15:00:00,SECTOR_03,road_accident,Moderate,"HOSP_007,HOSP_013",31,1.42,16
EVT_0019,2024-02-17 16:30:00,SECTOR_14,road_accident,Severe,"HOSP_022,HOSP_009",39,1.98,14
EVT_0020,2024-02-17 19:30:00,BB_001,blood_bank_failure,Moderate,"HOSP_027,HOSP_004,HOSP_029,HOSP_014",25,1.0,18
EVT_0021,2024-02-18 19:45:00,SECTOR_04,road_accident,Minor,"HOSP_007,HOSP_008,HOSP_009",3,1.23,3
EVT_0022,2024-02-23 15:15:00,BB_005,blood_bank_failure,Critical,"HOSP_025,HOSP_018",95,1.0,49
EVT_0023,2024-02-25 07:00:00,SECTOR_05,road_accident,Severe,"HOSP_022,HOSP_027,HOSP_029",41,1.75,35
EVT_0024,2024-02-27 14:00:00,BB_007,blood_bank_failure,Moderate,"HOSP_003,HOSP_029,HOSP_017",30,1.0,6
EVT_0025,2024-02-28 12:30:00,SECTOR_01,road_accident,Minor,"HOSP_022,HOSP_025",11,1.22,6
EVT_0026,2024-02-28 05:00:00,METRO_DISTRICT_A,surgery_surge,Minor,"HOSP_015,HOSP_003,HOSP_004,HOSP_029,HOSP_025",3,1.16,2
EVT_0027,2024-03-03 12:15:00,SECTOR_05,industrial_accident,Moderate,"HOSP_007,HOSP_003",35,1.69,9
EVT_0028,2024-03-03 18:15:00,SECTOR_14,mass_casualty,Moderate,"HOSP_011,HOSP_021",31,1.4,8
EVT_0029,2024-03-09 09:00:00,METRO_DISTRICT_D,surgery_surge,Moderate,"HOSP_007,HOSP_002,HOSP_003,HOSP_027,HOSP_006",18,1.36,10
EVT_0030,2024-03-13 10:15:00,METRO_DISTRICT_A,disease_spike,Minor,"HOSP_028,HOSP_017,HOSP_029,HOSP_025,HOSP_007",6,1.21,5
EVT_0031,2024-03-14 07:00:00,CORRIDOR_CENTRAL,transport_disruption,Severe,"HOSP_002,HOSP_015,HOSP_004",50,1.0,20
EVT_0032,2024-03-24 05:30:00,SECTOR_03,mass_casualty,Severe,"HOSP_030,HOSP_011,HOSP_029",40,1.99,31
EVT_0033,2024-04-03 10:15:00,SECTOR_05,industrial_accident,Moderate,"HOSP_022,HOSP_011,HOSP_003",30,1.55,15
EVT_0034,2024-04-03 12:15:00,SECTOR_02,mass_casualty,Minor,"HOSP_030,HOSP_025",12,1.35,5
EVT_0035,2024-04-04 21:15:00,METRO_DISTRICT_D,surgery_surge,Moderate,"HOSP_011,HOSP_028,HOSP_018,HOSP_014,HOSP_025,HOSP_029",24,1.63,13
EVT_0036,2024-04-06 21:45:00,METRO_DISTRICT_A,natural_disaster,Minor,"HOSP_002,HOSP_024,HOSP_025",12,1.16,3
EVT_0037,2024-04-07 00:45:00,METRO_DISTRICT_A,surgery_surge,Moderate,"HOSP_015,HOSP_017,HOSP_001,HOSP_010,HOSP_024",13,1.5,15
EVT_0038,2024-04-10 03:15:00,METRO_DISTRICT_B,natural_disaster,Moderate,"HOSP_007,HOSP_001,HOSP_014",23,1.57,16
EVT_0039,2024-04-10 23:30:00,SECTOR_10,road_accident,Moderate,"HOSP_030,HOSP_008,HOSP_009",12,1.35,18
EVT_0040,2024-04-11 14:00:00,METRO_DISTRICT_B,surgery_surge,Critical,"HOSP_012,HOSP_009,HOSP_020,HOSP_021,HOSP_008",185,3.11,26
EVT_0041,2024-04-12 16:00:00,SECTOR_13,mass_casualty,Severe,"HOSP_011,HOSP_028,HOSP_027",38,1.93,25
