date,city,temperature,rainfall,weather,holiday_flag,festival,accident_count,disease_spike_flag,blood_drive_flag,transport_disruption_flag
2024-01-01,Metro Metropolis,20.1,0.0,Foggy,1,New Year,18,0,0,0
2024-01-02,Metro Metropolis,24.0,0.0,Foggy,0,None,10,0,0,0
2024-01-03,Metro Metropolis,23.7,0.0,Cloudy,0,None,13,0,0,0
2024-01-04,Metro Metropolis,21.1,25.7,Rainy,0,None,10,0,0,0
2024-01-05,Metro Metropolis,22.4,0.0,Foggy,0,None,9,0,1,0
2024-01-06,Metro Metropolis,20.5,0.0,Cloudy,1,None,13,0,1,0
2024-01-07,Metro Metropolis,20.4,0.0,Cloudy,1,None,11,0,0,0
2024-01-08,Metro Metropolis,21.3,0.0,Cloudy,0,None,11,0,0,0
2024-01-09,Metro Metropolis,21.4,0.0,Foggy,0,None,10,0,0,0
2024-01-10,Metro Metropolis,22.9,0.0,Cloudy,0,None,16,0,0,0
2024-01-11,Metro Metropolis,23.2,0.0,Foggy,0,None,11,0,0,0
2024-01-12,Metro Metropolis,22.5,0.0,Cloudy,0,None,8,0,0,0
2024-01-13,Metro Metropolis,20.4,0.0,Foggy,1,None,14,0,1,0
2024-01-14,Metro Metropolis,19.0,0.0,Cloudy,1,None,17,0,1,0
2024-01-15,Metro Metropolis,23.2,0.0,Cloudy,1,Spring Harvest Festival,8,0,0,0
2024-01-16,Metro Metropolis,21.0,0.0,Foggy,0,None,8,0,0,0
2024-01-17,Metro Metropolis,20.5,0.0,Cloudy,0,None,5,0,1,0
2024-01-18,Metro Metropolis,23.1,0.0,Foggy,0,None,11,0,0,0
2024-01-19,Metro Metropolis,21.4,0.0,Cloudy,0,None,8,0,0,0
2024-01-20,Metro Metropolis,21.3,0.0,Foggy,1,None,12,0,1,0
2024-01-21,Metro Metropolis,21.3,0.0,Foggy,1,None,21,0,1,0
2024-01-22,Metro Metropolis,22.8,0.0,Cloudy,0,None,11,0,0,0
2024-01-23,Metro Metropolis,25.6,0.0,Sunny,0,None,5,0,0,0
2024-01-24,Metro Metropolis,23.6,0.0,Foggy,0,None,12,0,1,0
2024-01-25,Metro Metropolis,23.6,0.0,Foggy,0,None,5,0,0,0
2024-01-26,Metro Metropolis,19.4,0.0,Foggy,0,None,10,0,0,0
2024-01-27,Metro Metropolis,22.8,0.0,Cloudy,1,None,14,0,1,0
2024-01-28,Metro Metropolis,20.4,0.0,Cloudy,1,None,11,0,0,0
2024-01-29,Metro Metropolis,23.3,0.0,Foggy,0,None,14,0,0,0
2024-01-30,Metro Metropolis,21.5,0.0,Cloudy,0,None,4,0,0,1
2024-01-31,Metro Metropolis,22.1,0.0,Foggy,0,None,9,0,0,0
2024-02-01,Metro Metropolis,22.5,0.0,Foggy,0,None,10,0,0,0
2024-02-02,Metro Metropolis,25.6,0.0,Cloudy,0,None,10,0,1,0
2024-02-03,Metro Metropolis,25.4,0.0,Sunny,1,None,15,0,1,0
2024-02-04,Metro Metropolis,25.0,0.0,Sunny,1,None,14,0,0,0
2024-02-05,Metro Metropolis,22.2,0.0,Foggy,0,None,7,0,0,0
2024-02-06,Metro Metropolis,21.7,0.0,Cloudy,0,None,11,0,0,0
2024-02-07,Metro Metropolis,23.6,0.0,Cloudy,0,None,11,0,0,0
2024-02-08,Metro Metropolis,24.9,0.0,Sunny,0,None,9,0,0,0
2024-02-09,Metro Metropolis,25.8,0.0,Sunny,0,None,8,0,0,0
2024-02-10,Metro Metropolis,22.6,14.9,Rainy,1,None,13,0,1,0
2024-02-11,Metro Metropolis,25.6,0.0,Sunny,1,None,15,0,0,0
2024-02-12,Metro Metropolis,23.7,0.0,Cloudy,0,None,8,0,0,0
2024-02-13,Metro Metropolis,25.2,0.0,Cloudy,0,None,13,0,0,0
2024-02-14,Metro Metropolis,22.9,0.0,Foggy,0,None,8,0,0,0
2024-02-15,Metro Metropolis,22.0,0.0,Cloudy,0,None,11,0,0,0
2024-02-16,Metro Metropolis,20.9,0.0,Foggy,0,None,6,0,0,0
2024-02-17,Metro Metropolis,25.5,0.0,Cloudy,1,None,19,0,0,0
2024-02-18,Metro Metropolis,23.2,0.0,Foggy,1,None,19,0,1,0
2024-02-19,Metro Metropolis,20.8,0.0,Cloudy,0,None,6,0,0,0
2024-02-20,Metro Metropolis,22.7,0.0,Foggy,0,None,8,0,0,0
2024-02-21,Metro Metropolis,23.8,0.0,Foggy,0,None,15,0,0,0
2024-02-22,Metro Metropolis,24.6,0.0,Sunny,0,None,13,0,0,0
2024-02-23,Metro Metropolis,18.3,0.0,Foggy,0,None,11,0,0,0
2024-02-24,Metro Metropolis,23.2,0.0,Cloudy,1,None,11,0,1,0
2024-02-25,Metro Metropolis,24.9,0.0,Cloudy,1,None,14,0,1,0
2024-02-26,Metro Metropolis,24.3,0.0,Cloudy,0,None,15,0,1,0
2024-02-27,Metro Metropolis,20.2,0.0,Foggy,0,None,12,0,0,0
2024-02-28,Metro Metropolis,25.3,0.0,Sunny,0,None,9,0,0,0
2024-02-29,Metro Metropolis,23.8,0.0,Cloudy,0,None,12,0,0,0
2024-03-01,Metro Metropolis,35.3,0.0,Cloudy,0,None,6,0,0,0
2024-03-02,Metro Metropolis,32.1,0.0,Cloudy,1,None,13,0,1,0
2024-03-03,Metro Metropolis,37.9,0.0,Sunny,1,None,15,0,1,0
2024-03-04,Metro Metropolis,31.4,0.0,Cloudy,0,None,12,0,0,0
2024-03-05,Metro Metropolis,37.0,0.0,Cloudy,0,None,13,0,1,0
2024-03-06,Metro Metropolis,35.7,23.4,Rainy,0,None,13,0,0,0
2024-03-07,Metro Metropolis,35.3,0.0,Sunny,0,None,15,0,0,0
2024-03-08,Metro Metropolis,31.3,0.0,Cloudy,0,None,8,0,0,0
2024-03-09,Metro Metropolis,34.8,0.0,Sunny,1,None,16,0,0,0
2024-03-10,Metro Metropolis,33.7,0.0,Cloudy,1,None,12,0,1,0
2024-03-11,Metro Metropolis,30.6,0.0,Sunny,0,None,10,0,0,0
2024-03-12,Metro Metropolis,31.5,0.0,Sunny,0,None,9,0,0,0
2024-03-13,Metro Metropolis,31.4,0.0,Sunny,0,None,12,0,0,0
2024-03-14,Metro Metropolis,31.7,0.0,Sunny,0,None,11,0,0,0
2024-03-15,Metro Metropolis,34.9,0.0,Cloudy,0,None,9,0,0,0
2024-03-16,Metro Metropolis,34.4,0.0,Cloudy,1,None,9,0,1,0
2024-03-17,Metro Metropolis,33.7,0.0,Cloudy,1,None,17,0,1,0
2024-03-18,Metro Metropolis,34.2,0.0,Cloudy,0,None,9,0,0,0
2024-03-19,Metro Metropolis,34.5,0.0,Sunny,0,None,10,0,0,1
2024-03-20,Metro Metropolis,32.7,0.0,Sunny,0,None,8,0,1,0
2024-03-21,Metro Metropolis,33.9,0.0,Sunny,0,None,9,0,0,0
2024-03-22,Metro Metropolis,37.5,0.0,Cloudy,0,None,7,0,0,0
2024-03-23,Metro Metropolis,32.6,0.0,Sunny,1,None,14,0,1,0
2024-03-24,Metro Metropolis,31.2,0.0,Cloudy,1,None,17,0,1,0
2024-03-25,Metro Metropolis,32.3,0.0,Sunny,1,Color Festival,16,0,0,0
2024-03-26,Metro Metropolis,31.1,0.0,Sunny,0,None,9,0,0,0
2024-03-27,Metro Metropolis,36.1,25.1,Rainy,0,None,20,0,0,0
2024-03-28,Metro Metropolis,32.2,0.0,Sunny,0,None,9,0,0,0
2024-03-29,Metro Metropolis,35.5,0.0,Cloudy,0,None,13,0,0,0
2024-03-30,Metro Metropolis,32.7,17.7,Rainy,1,None,20,0,0,0
2024-03-31,Metro Metropolis,31.3,22.6,Rainy,1,None,23,0,1,0
2024-04-01,Metro Metropolis,30.3,0.0,Cloudy,0,None,9,0,0,0
2024-04-02,Metro Metropolis,32.1,0.0,Cloudy,0,None,8,0,0,0
2024-04-03,Metro Metropolis,31.0,0.0,Cloudy,0,None,13,0,0,0
2024-04-04,Metro Metropolis,33.1,0.0,Sunny,0,None,7,0,1,0
2024-04-05,Metro Metropolis,31.0,0.0,Cloudy,0,None,11,0,0,0
2024-04-06,Metro Metropolis,31.2,0.0,Cloudy,1,None,10,0,1,0
2024-04-07,Metro Metropolis,31.5,0.0,Cloudy,1,None,11,0,1,0
2024-04-08,Metro Metropolis,29.3,0.0,Cloudy,0,None,11,0,0,0
2024-04-09,Metro Metropolis,34.5,0.0,Sunny,0,None,12,0,0,0
2024-04-10,Metro Metropolis,32.3,0.0,Cloudy,0,None,6,0,0,0
2024-04-11,Metro Metropolis,31.4,0.0,Cloudy,0,None,6,0,0,0
2024-04-12,Metro Metropolis,30.3,0.0,Sunny,0,None,13,0,0,0
2024-04-13,Metro Metropolis,32.4,0.0,Sunny,1,None,10,0,1,0
2024-04-14,Metro Metropolis,31.7,0.0,Sunny,1,None,14,0,1,0
2024-04-15,Metro Metropolis,33.0,0.0,Sunny,0,None,11,0,0,0
2024-04-16,Metro Metropolis,32.3,0.0,Sunny,0,None,11,0,0,0
2024-04-17,Metro Metropolis,32.3,0.0,Sunny,0,None,10,0,1,0
2024-04-18,Metro Metropolis,32.6,0.0,Sunny,0,None,11,0,0,0
2024-04-19,Metro Metropolis,31.0,0.0,Sunny,0,None,17,0,1,0
2024-04-20,Metro Metropolis,32.1,0.0,Cloudy,1,None,14,0,1,0
2024-04-21,Metro Metropolis,33.0,23.3,Rainy,1,None,25,0,1,1
2024-04-22,Metro Metropolis,30.8,0.0,Cloudy,0,None,4,0,0,0
2024-04-23,Metro Metropolis,27.7,0.0,Cloudy,0,None,8,0,1,0
2024-04-24,Metro Metropolis,28.5,0.0,Sunny,0,None,8,0,0,0
2024-04-25,Metro Metropolis,31.8,0.0,Sunny,0,None,14,0,0,0
2024-04-26,Metro Metropolis,28.3,0.0,Sunny,0,None,12,0,0,0
2024-04-27,Metro Metropolis,29.6,0.0,Cloudy,1,None,19,0,0,0
2024-04-28,Metro Metropolis,30.0,0.0,Sunny,1,None,23,0,1,0
2024-04-29,Metro Metropolis,27.8,0.0,Sunny,0,None,13,0,0,0
2024-04-30,Metro Metropolis,30.8,0.0,Cloudy,0,None,14,0,0,1
2024-05-01,Metro Metropolis,29.2,0.0,Cloudy,0,None,6,0,0,0
2024-05-02,Metro Metropolis,32.4,0.0,Sunny,0,None,9,0,0,0
2024-05-03,Metro Metropolis,31.0,0.0,Cloudy,0,None,5,0,0,0
2024-05-04,Metro Metropolis,28.4,0.0,Sunny,1,None,11,0,1,0
2024-05-05,Metro Metropolis,28.7,0.0,Sunny,1,None,13,0,1,0
2024-05-06,Metro Metropolis,28.9,0.0,Cloudy,0,None,8,0,0,0
2024-05-07,Metro Metropolis,31.1,0.0,Sunny,0,None,5,0,0,0
2024-05-08,Metro Metropolis,23.4,0.0,Foggy,0,None,10,0,0,0
2024-05-09,Metro Metropolis,26.6,0.0,Sunny,0,None,10,0,0,0
2024-05-10,Metro Metropolis,29.5,0.0,Sunny,0,None,8,0,0,0
2024-05-11,Metro Metropolis,28.6,0.0,Sunny,1,None,12,0,0,0
2024-05-12,Metro Metropolis,29.5,0.0,Sunny,1,None,14,0,1,0
2024-05-13,Metro Metropolis,27.9,0.0,Sunny,0,None,11,0,0,0
2024-05-14,Metro Metropolis,27.5,0.0,Cloudy,0,None,12,0,0,0
2024-05-15,Metro Metropolis,30.9,0.0,Cloudy,0,None,9,0,0,0
2024-05-16,Metro Metropolis,27.9,0.0,Cloudy,0,None,7,0,0,0
2024-05-17,Metro Metropolis,31.5,0.0,Sunny,0,None,9,0,0,0
2024-05-18,Metro Metropolis,28.1,0.0,Sunny,1,None,19,0,0,0
2024-05-19,Metro Metropolis,29.9,0.0,Sunny,1,None,12,0,1,0
2024-05-20,Metro Metropolis,31.7,0.0,Cloudy,0,None,7,0,0,0
2024-05-21,Metro Metropolis,30.1,0.0,Cloudy,0,None,6,0,0,0
2024-05-22,Metro Metropolis,32.4,0.0,Cloudy,0,None,16,0,0,0
2024-05-23,Metro Metropolis,27.6,0.0,Sunny,0,None,8,0,0,0
2024-05-24,Metro Metropolis,30.4,0.0,Cloudy,0,None,8,0,0,0
2024-05-25,Metro Metropolis,30.2,0.0,Cloudy,1,None,11,0,1,0
2024-05-26,Metro Metropolis,29.1,0.0,Sunny,1,None,11,0,0,0
2024-05-27,Metro Metropolis,28.9,0.0,Cloudy,0,None,14,0,1,0
2024-05-28,Metro Metropolis,30.1,0.0,Sunny,0,None,10,0,0,0
2024-05-29,Metro Metropolis,30.2,0.0,Sunny,0,None,14,0,0,0
2024-05-30,Metro Metropolis,27.4,0.0,Sunny,0,None,8,0,0,0
2024-05-31,Metro Metropolis,31.1,0.0,Sunny,0,None,11,0,0,0
2024-06-01,Metro Metropolis,28.9,12.9,Rainy,1,None,19,0,1,0
2024-06-02,Metro Metropolis,27.4,105.9,Heavy Rain,1,None,16,0,1,1
2024-06-03,Metro Metropolis,26.6,0.0,Cloudy,0,None,15,0,0,0
2024-06-04,Metro Metropolis,26.7,100.4,Heavy Rain,0,None,10,0,0,1
2024-06-05,Metro Metropolis,27.8,0.0,Cloudy,0,None,10,0,0,0
2024-06-06,Metro Metropolis,26.9,10.9,Rainy,0,None,22,0,0,0
2024-06-07,Metro Metropolis,26.0,0.0,Cloudy,0,None,12,0,0,0
2024-06-08,Metro Metropolis,26.5,0.0,Sunny,1,None,7,0,1,0
2024-06-09,Metro Metropolis,25.2,64.0,Rainy,1,None,16,0,0,0
2024-06-10,Metro Metropolis,26.4,0.0,Sunny,0,None,8,0,0,0
2024-06-11,Metro Metropolis,24.8,0.0,Cloudy,0,None,8,0,0,0
2024-06-12,Metro Metropolis,23.3,10.8,Rainy,0,None,14,0,0,0
2024-06-13,Metro Metropolis,26.6,19.9,Rainy,0,None,19,0,0,0
2024-06-14,Metro Metropolis,29.8,0.0,Sunny,0,None,7,0,0,0
2024-06-15,Metro Metropolis,22.1,56.2,Rainy,1,None,8,0,0,0
2024-06-16,Metro Metropolis,20.5,0.0,Cloudy,1,None,19,0,0,0
2024-06-17,Metro Metropolis,25.5,0.0,Sunny,1,Mid-Year Festival,12,0,1,0
2024-06-18,Metro Metropolis,27.3,27.6,Rainy,0,None,20,0,1,0
2024-06-19,Metro Metropolis,24.6,0.0,Cloudy,0,None,6,0,0,0
2024-06-20,Metro Metropolis,23.6,0.0,Cloudy,0,None,7,0,0,0
2024-06-21,Metro Metropolis,26.1,0.0,Sunny,0,None,13,0,0,0
2024-06-22,Metro Metropolis,26.0,12.2,Rainy,1,None,22,0,0,0
2024-06-23,Metro Metropolis,24.6,63.5,Rainy,1,None,16,0,0,0
2024-06-24,Metro Metropolis,22.6,69.6,Heavy Rain,0,None,15,0,0,1
2024-06-25,Metro Metropolis,26.0,93.8,Heavy Rain,0,None,17,0,0,1
2024-06-26,Metro Metropolis,25.5,16.0,Rainy,0,None,20,0,0,0
2024-06-27,Metro Metropolis,23.0,76.9,Heavy Rain,0,None,12,0,0,1
2024-06-28,Metro Metropolis,24.0,50.9,Rainy,0,None,13,0,0,0
2024-06-29,Metro Metropolis,23.9,0.0,Cloudy,1,None,19,0,0,0
2024-06-30,Metro Metropolis,25.3,0.0,Cloudy,1,None,11,0,1,0
2024-07-01,Metro Metropolis,27.1,59.0,Rainy,0,None,13,1,1,0
2024-07-02,Metro Metropolis,27.4,28.6,Rainy,0,None,14,1,0,0
2024-07-03,Metro Metropolis,28.5,35.2,Rainy,0,None,14,0,1,0
2024-07-04,Metro Metropolis,26.3,0.0,Sunny,0,None,8,1,0,0
2024-07-05,Metro Metropolis,25.1,0.0,Sunny,0,None,12,0,1,0
2024-07-06,Metro Metropolis,26.3,0.0,Cloudy,1,None,15,1,1,0
2024-07-07,Metro Metropolis,23.5,2.7,Rainy,1,None,13,0,0,0
2024-07-08,Metro Metropolis,23.7,0.0,Foggy,0,None,9,1,0,0
2024-07-09,Metro Metropolis,25.1,24.4,Rainy,0,None,11,1,0,0
2024-07-10,Metro Metropolis,25.8,0.0,Cloudy,0,None,9,1,0,0
2024-07-11,Metro Metropolis,22.8,0.0,Cloudy,0,None,17,1,0,0
2024-07-12,Metro Metropolis,27.1,0.0,Sunny,0,None,11,0,0,0
2024-07-13,Metro Metropolis,23.5,14.1,Rainy,1,None,13,1,0,0
2024-07-14,Metro Metropolis,24.4,20.0,Rainy,1,None,23,0,0,0
2024-07-15,Metro Metropolis,26.2,28.6,Rainy,0,None,17,1,0,0
2024-07-16,Metro Metropolis,24.3,0.0,Cloudy,0,None,8,1,0,0
2024-07-17,Metro Metropolis,25.1,0.0,Cloudy,0,None,14,0,0,0
2024-07-18,Metro Metropolis,29.5,4.8,Rainy,0,None,17,1,0,0
2024-07-19,Metro Metropolis,26.6,0.0,Sunny,0,None,10,1,0,0
2024-07-20,Metro Metropolis,24.0,26.2,Rainy,1,None,21,0,1,0
2024-07-21,Metro Metropolis,21.9,15.7,Rainy,1,None,21,1,0,0
2024-07-22,Metro Metropolis,25.7,0.0,Cloudy,0,None,16,0,0,0
2024-07-23,Metro Metropolis,24.3,11.9,Rainy,0,None,17,1,0,0
2024-07-24,Metro Metropolis,28.0,84.8,Heavy Rain,0,None,10,0,0,1
2024-07-25,Metro Metropolis,25.8,27.1,Rainy,0,None,16,1,0,0
2024-07-26,Metro Metropolis,20.9,0.0,Cloudy,0,None,11,1,0,0
2024-07-27,Metro Metropolis,27.7,0.0,Cloudy,1,None,14,1,0,0
2024-07-28,Metro Metropolis,24.8,9.1,Rainy,1,None,29,0,1,0
2024-07-29,Metro Metropolis,26.2,20.1,Rainy,0,None,18,0,0,0
2024-07-30,Metro Metropolis,23.7,0.0,Cloudy,0,None,12,0,0,0
2024-07-31,Metro Metropolis,25.8,77.1,Heavy Rain,0,None,11,0,0,1
2024-08-01,Metro Metropolis,24.7,73.2,Heavy Rain,0,None,14,0,0,1
2024-08-02,Metro Metropolis,24.8,0.0,Cloudy,0,None,10,1,0,0
2024-08-03,Metro Metropolis,27.5,29.7,Rainy,1,None,17,1,0,0
2024-08-04,Metro Metropolis,23.2,18.3,Rainy,1,None,22,1,0,0
2024-08-05,Metro Metropolis,28.2,15.4,Rainy,0,None,10,0,0,0
2024-08-06,Metro Metropolis,22.4,17.1,Rainy,0,None,17,1,0,0
2024-08-07,Metro Metropolis,24.4,0.0,Sunny,0,None,8,0,0,0
2024-08-08,Metro Metropolis,26.4,22.5,Rainy,0,None,13,0,0,0
2024-08-09,Metro Metropolis,25.9,0.0,Cloudy,0,None,11,1,0,0
2024-08-10,Metro Metropolis,26.4,106.4,Heavy Rain,1,None,28,1,1,1
2024-08-11,Metro Metropolis,27.8,54.5,Rainy,1,None,19,1,1,0
2024-08-12,Metro Metropolis,25.9,0.0,Sunny,0,None,15,1,0,0
2024-08-13,Metro Metropolis,30.0,0.0,Cloudy,0,None,13,0,0,0
2024-08-14,Metro Metropolis,31.0,18.8,Rainy,0,None,8,1,0,0
2024-08-15,Metro Metropolis,28.3,98.8,Heavy Rain,1,Independence Holiday,21,1,0,1
2024-08-16,Metro Metropolis,27.2,0.0,Sunny,0,None,19,0,0,0
2024-08-17,Metro Metropolis,30.0,25.6,Rainy,1,None,24,0,0,0
2024-08-18,Metro Metropolis,27.0,104.7,Heavy Rain,1,None,16,1,1,1
2024-08-19,Metro Metropolis,27.6,0.0,Sunny,0,None,8,1,0,0
2024-08-20,Metro Metropolis,27.9,22.2,Rainy,0,None,10,0,0,0
2024-08-21,Metro Metropolis,26.1,38.3,Rainy,0,None,14,1,0,0
2024-08-22,Metro Metropolis,28.7,18.9,Rainy,0,None,18,1,1,0
2024-08-23,Metro Metropolis,28.9,0.0,Cloudy,0,None,8,1,0,0
2024-08-24,Metro Metropolis,26.5,94.5,Heavy Rain,1,None,24,1,0,1
2024-08-25,Metro Metropolis,26.9,10.8,Rainy,1,None,19,0,1,0
2024-08-26,Metro Metropolis,28.1,65.7,Heavy Rain,0,None,24,0,0,1
2024-08-27,Metro Metropolis,30.4,0.0,Cloudy,0,None,11,0,0,0
2024-08-28,Metro Metropolis,31.3,23.9,Rainy,0,None,9,1,1,0
2024-08-29,Metro Metropolis,27.7,0.0,Sunny,0,None,13,1,0,0
2024-08-30,Metro Metropolis,27.2,69.5,Heavy Rain,0,None,9,0,0,1
2024-08-31,Metro Metropolis,26.5,0.0,Cloudy,1,None,12,0,1,0
2024-09-01,Metro Metropolis,29.2,0.0,Sunny,1,None,20,1,1,0
2024-09-02,Metro Metropolis,31.1,0.0,Cloudy,0,None,10,0,0,0
2024-09-03,Metro Metropolis,28.8,75.0,Heavy Rain,0,None,16,1,1,1
2024-09-04,Metro Metropolis,29.1,27.6,Rainy,0,None,12,0,0,0
2024-09-05,Metro Metropolis,28.8,0.0,Sunny,0,None,5,1,0,0
2024-09-06,Metro Metropolis,31.4,44.6,Rainy,0,None,15,1,1,0
2024-09-07,Metro Metropolis,30.0,0.0,Cloudy,1,None,9,0,0,0
2024-09-08,Metro Metropolis,27.0,4.8,Rainy,1,None,21,1,1,0
2024-09-09,Metro Metropolis,28.3,9.8,Rainy,0,None,14,0,1,0
2024-09-10,Metro Metropolis,30.0,0.0,Cloudy,0,None,7,1,0,0
2024-09-11,Metro Metropolis,25.9,27.0,Rainy,0,None,11,1,0,0
2024-09-12,Metro Metropolis,28.9,19.3,Rainy,0,None,10,1,0,0
2024-09-13,Metro Metropolis,24.6,64.8,Rainy,0,None,18,0,0,0
2024-09-14,Metro Metropolis,31.7,74.3,Heavy Rain,1,None,23,1,1,1
2024-09-15,Metro Metropolis,29.2,8.1,Rainy,1,None,18,0,0,0
2024-09-16,Metro Metropolis,30.5,16.9,Rainy,0,None,15,1,0,0
2024-09-17,Metro Metropolis,26.7,23.5,Rainy,0,None,14,1,0,0
