route_id,source_id,source_type,destination_id,destination_type,distance_km,travel_time_minutes,transport_capacity,traffic_factor,route_status
RT_00001,BB_001,Blood_Bank,HOSP_001,Hospital,14.87,27.5,30,1.17,Active
RT_00002,BB_001,Blood_Bank,HOSP_002,Hospital,10.2,17.4,100,1.08,Active
RT_00003,BB_001,Blood_Bank,HOSP_003,Hospital,22.16,39.9,100,1.14,Active
RT_00004,BB_001,Blood_Bank,HOSP_004,Hospital,13.59,25.3,100,1.18,Active
RT_00005,BB_001,Blood_Bank,HOSP_005,Hospital,22.65,47.9,80,1.34,Active
RT_00006,BB_001,Blood_Bank,HOSP_006,Hospital,24.59,41.9,100,1.08,Active
RT_00007,BB_001,Blood_Bank,HOSP_007,Hospital,22.13,46.1,50,1.32,Active
RT_00008,BB_001,Blood_Bank,HOSP_008,Hospital,19.06,42.1,80,1.4,Active
RT_00009,BB_001,Blood_Bank,HOSP_009,Hospital,62.64,141.4,120,1.43,Active
RT_00010,BB_001,Blood_Bank,HOSP_010,Hospital,53.96,117.6,80,1.38,Active
RT_00011,BB_001,Blood_Bank,HOSP_011,Hospital,31.9,63.0,50,1.25,Active
RT_00012,BB_001,Blood_Bank,HOSP_012,Hospital,23.99,54.2,50,1.43,Active
RT_00013,BB_001,Blood_Bank,HOSP_013,Hospital,12.75,27.2,80,1.35,Active
RT_00014,BB_001,Blood_Bank,HOSP_014,Hospital,37.08,71.4,80,1.22,Active
RT_00015,BB_001,Blood_Bank,HOSP_015,Hospital,55.13,92.3,100,1.06,Active
RT_00016,BB_001,Blood_Bank,HOSP_016,Hospital,27.4,49.8,80,1.15,Active
RT_00017,BB_001,Blood_Bank,HOSP_017,Hospital,42.46,93.2,80,1.39,Active
RT_00018,BB_001,Blood_Bank,HOSP_018,Hospital,46.59,78.0,80,1.06,Active
RT_00019,BB_001,Blood_Bank,HOSP_019,Hospital,38.51,80.3,80,1.32,Active
RT_00020,BB_001,Blood_Bank,HOSP_020,Hospital,31.73,53.6,100,1.07,Active
RT_00021,BB_001,Blood_Bank,HOSP_021,Hospital,20.53,38.3,100,1.18,Active
RT_00022,BB_001,Blood_Bank,HOSP_022,Hospital,12.59,25.2,50,1.27,Active
RT_00023,BB_001,Blood_Bank,HOSP_023,Hospital,65.0,135.5,120,1.32,Active
RT_00024,BB_001,Blood_Bank,HOSP_024,Hospital,6.02,13.5,80,1.42,Active
RT_00025,BB_001,Blood_Bank,HOSP_025,Hospital,26.77,49.9,80,1.18,Active
RT_00026,BB_001,Blood_Bank,HOSP_026,Hospital,27.15,55.7,120,1.3,Active
RT_00027,BB_001,Blood_Bank,HOSP_027,Hospital,19.93,33.0,80,1.05,Active
RT_00028,BB_001,Blood_Bank,HOSP_028,Hospital,16.96,29.5,50,1.1,Active
RT_00029,BB_001,Blood_Bank,HOSP_029,Hospital,77.11,131.5,100,1.08,Active
RT_00030,BB_001,Blood_Bank,HOSP_030,Hospital,55.44,110.3,120,1.26,Active
RT_00031,BB_002,Blood_Bank,HOSP_001,Hospital,20.78,39.7,80,1.21,Active
RT_00032,BB_002,Blood_Bank,HOSP_002,Hospital,16.13,28.5,80,1.12,Active
RT_00033,BB_002,Blood_Bank,HOSP_003,Hospital,1.7,2.9,100,1.08,Active
RT_00034,BB_002,Blood_Bank,HOSP_004,Hospital,10.48,20.2,80,1.22,Active
RT_00035,BB_002,Blood_Bank,HOSP_005,Hospital,10.16,19.7,120,1.23,Active
RT_00036,BB_002,Blood_Bank,HOSP_006,Hospital,18.6,31.7,50,1.08,Active
RT_00037,BB_002,Blood_Bank,HOSP_007,Hospital,8.32,15.4,80,1.17,Active
RT_00038,BB_002,Blood_Bank,HOSP_008,Hospital,9.86,22.0,80,1.41,Active
RT_00039,BB_002,Blood_Bank,HOSP_009,Hospital,47.61,97.0,30,1.29,Active
RT_00040,BB_002,Blood_Bank,HOSP_010,Hospital,33.02,75.1,100,1.44,Active
RT_00041,BB_002,Blood_Bank,HOSP_011,Hospital,20.41,45.8,120,1.42,Active
RT_00042,BB_002,Blood_Bank,HOSP_012,Hospital,5.26,9.9,30,1.19,Active
RT_00043,BB_002,Blood_Bank,HOSP_013,Hospital,12.23,23.6,100,1.22,Active
RT_00044,BB_002,Blood_Bank,HOSP_014,Hospital,21.53,39.4,80,1.16,Active
RT_00045,BB_002,Blood_Bank,HOSP_015,Hospital,31.43,52.6,100,1.06,Disrupted
RT_00046,BB_002,Blood_Bank,HOSP_016,Hospital,17.51,36.2,50,1.31,Active
RT_00047,BB_002,Blood_Bank,HOSP_017,Hospital,38.52,73.6,80,1.21,Active
RT_00048,BB_002,Blood_Bank,HOSP_018,Hospital,66.02,126.1,50,1.21,Active
RT_00049,BB_002,Blood_Bank,HOSP_019,Hospital,38.05,66.7,50,1.11,Active
RT_00050,BB_002,Blood_Bank,HOSP_020,Hospital,19.75,43.0,50,1.38,Active
RT_00051,BB_002,Blood_Bank,HOSP_021,Hospital,10.3,19.2,80,1.18,Active
RT_00052,BB_002,Blood_Bank,HOSP_022,Hospital,11.78,25.3,100,1.36,Active
RT_00053,BB_002,Blood_Bank,HOSP_023,Hospital,53.63,95.7,80,1.13,Congested
RT_00054,BB_002,Blood_Bank,HOSP_024,Hospital,17.69,39.1,100,1.4,Active
RT_00055,BB_002,Blood_Bank,HOSP_025,Hospital,41.24,79.4,120,1.22,Congested
RT_00056,BB_002,Blood_Bank,HOSP_026,Hospital,26.84,52.1,100,1.23,Active
RT_00057,BB_002,Blood_Bank,HOSP_027,Hospital,6.41,14.7,120,1.45,Active
RT_00058,BB_002,Blood_Bank,HOSP_028,Hospital,21.66,45.1,100,1.32,Active
RT_00059,BB_002,Blood_Bank,HOSP_029,Hospital,62.35,126.0,50,1.28,Active
RT_00060,BB_002,Blood_Bank,HOSP_030,Hospital,49.25,84.0,100,1.08,Active
RT_00061,BB_003,Blood_Bank,HOSP_001,Hospital,5.61,11.8,50,1.33,Active
RT_00062,BB_003,Blood_Bank,HOSP_002,Hospital,9.82,17.1,50,1.1,Active
RT_00063,BB_003,Blood_Bank,HOSP_003,Hospital,16.59,28.3,120,1.08,Active
RT_00064,BB_003,Blood_Bank,HOSP_004,Hospital,12.34,23.6,80,1.21,Disrupted
RT_00065,BB_003,Blood_Bank,HOSP_005,Hospital,25.23,53.8,30,1.35,Active
RT_00066,BB_003,Blood_Bank,HOSP_006,Hospital,5.44,10.5,120,1.22,Active
RT_00067,BB_003,Blood_Bank,HOSP_007,Hospital,23.52,43.5,100,1.17,Active
RT_00068,BB_003,Blood_Bank,HOSP_008,Hospital,8.21,17.0,100,1.31,Disrupted
RT_00069,BB_003,Blood_Bank,HOSP_009,Hospital,65.52,116.9,50,1.13,Active
RT_00070,BB_003,Blood_Bank,HOSP_010,Hospital,50.59,109.4,100,1.37,Active
RT_00071,BB_003,Blood_Bank,HOSP_011,Hospital,13.17,26.2,50,1.26,Active
RT_00072,BB_003,Blood_Bank,HOSP_012,Hospital,13.98,26.7,50,1.21,Congested
RT_00073,BB_003,Blood_Bank,HOSP_013,Hospital,10.49,20.2,80,1.22,Active
RT_00074,BB_003,Blood_Bank,HOSP_014,Hospital,39.14,83.4,120,1.35,Active
RT_00075,BB_003,Blood_Bank,HOSP_015,Hospital,45.17,95.6,100,1.34,Active
RT_00076,BB_003,Blood_Bank,HOSP_016,Hospital,8.9,18.7,50,1.33,Active
RT_00077,BB_003,Blood_Bank,HOSP_017,Hospital,24.48,41.7,100,1.08,Active
RT_00078,BB_003,Blood_Bank,HOSP_018,Hospital,50.12,95.0,120,1.2,Active
RT_00079,BB_003,Blood_Bank,HOSP_019,Hospital,50.78,97.0,80,1.21,Active
RT_00080,BB_003,Blood_Bank,HOSP_020,Hospital,13.17,24.1,50,1.16,Active
RT_00081,BB_003,Blood_Bank,HOSP_021,Hospital,23.96,48.8,120,1.29,Active
RT_00082,BB_003,Blood_Bank,HOSP_022,Hospital,11.58,26.3,120,1.44,Active
RT_00083,BB_003,Blood_Bank,HOSP_023,Hospital,45.78,81.0,50,1.12,Active
RT_00084,BB_003,Blood_Bank,HOSP_024,Hospital,16.0,27.3,30,1.08,Active
RT_00085,BB_003,Blood_Bank,HOSP_025,Hospital,24.28,51.8,50,1.35,Active
RT_00086,BB_003,Blood_Bank,HOSP_026,Hospital,9.88,17.9,50,1.15,Active
RT_00087,BB_003,Blood_Bank,HOSP_027,Hospital,20.18,39.5,120,1.24,Active
RT_00088,BB_003,Blood_Bank,HOSP_028,Hospital,4.82,9.8,30,1.29,Active
RT_00089,BB_003,Blood_Bank,HOSP_029,Hospital,57.9,97.8,30,1.07,Active
RT_00090,BB_003,Blood_Bank,HOSP_030,Hospital,37.07,69.1,100,1.18,Active
RT_00091,BB_004,Blood_Bank,HOSP_001,Hospital,12.11,24.9,50,1.3,Active
RT_00092,BB_004,Blood_Bank,HOSP_002,Hospital,17.74,35.3,80,1.26,Active
RT_00093,BB_004,Blood_Bank,HOSP_003,Hospital,22.16,37.4,30,1.07,Active
RT_00094,BB_004,Blood_Bank,HOSP_004,Hospital,19.89,35.8,80,1.14,Active
RT_00095,BB_004,Blood_Bank,HOSP_005,Hospital,31.87,56.9,100,1.13,Disrupted
RT_00096,BB_004,Blood_Bank,HOSP_006,Hospital,4.71,8.8,50,1.19,Active
RT_00097,BB_004,Blood_Bank,HOSP_007,Hospital,30.05,64.5,120,1.36,Active
RT_00098,BB_004,Blood_Bank,HOSP_008,Hospital,14.34,28.3,120,1.25,Disrupted
RT_00099,BB_004,Blood_Bank,HOSP_009,Hospital,70.74,134.0,100,1.2,Active
RT_00100,BB_004,Blood_Bank,HOSP_010,Hospital,54.07,111.8,120,1.31,Active
RT_00101,BB_004,Blood_Bank,HOSP_011,Hospital,9.09,15.5,30,1.08,Active
RT_00102,BB_004,Blood_Bank,HOSP_012,Hospital,18.34,41.7,80,1.44,Active
RT_00103,BB_004,Blood_Bank,HOSP_013,Hospital,18.25,39.2,100,1.36,Congested
RT_00104,BB_004,Blood_Bank,HOSP_014,Hospital,44.84,97.0,120,1.37,Active
RT_00105,BB_004,Blood_Bank,HOSP_015,Hospital,45.9,84.1,80,1.16,Active
RT_00106,BB_004,Blood_Bank,HOSP_016,Hospital,7.23,12.8,120,1.12,Active
RT_00107,BB_004,Blood_Bank,HOSP_017,Hospital,16.61,35.1,30,1.34,Disrupted
RT_00108,BB_004,Blood_Bank,HOSP_018,Hospital,50.78,104.2,80,1.3,Active
RT_00109,BB_004,Blood_Bank,HOSP_019,Hospital,58.3,124.3,30,1.35,Active
RT_00110,BB_004,Blood_Bank,HOSP_020,Hospital,9.53,20.8,80,1.38,Active
RT_00111,BB_004,Blood_Bank,HOSP_021,Hospital,30.87,58.0,120,1.19,Active
RT_00112,BB_004,Blood_Bank,HOSP_022,Hospital,19.3,37.8,50,1.24,Active
RT_00113,BB_004,Blood_Bank,HOSP_023,Hospital,38.24,74.3,80,1.23,Active
RT_00114,BB_004,Blood_Bank,HOSP_024,Hospital,23.92,44.2,80,1.17,Active
RT_00115,BB_004,Blood_Bank,HOSP_025,Hospital,24.71,41.4,50,1.06,Active
RT_00116,BB_004,Blood_Bank,HOSP_026,Hospital,4.13,7.9,100,1.21,Congested
RT_00117,BB_004,Blood_Bank,HOSP_027,Hospital,26.81,51.6,80,1.22,Active
RT_00118,BB_004,Blood_Bank,HOSP_028,Hospital,10.22,21.1,50,1.31,Active
RT_00119,BB_004,Blood_Bank,HOSP_029,Hospital,50.95,105.4,50,1.31,Disrupted
RT_00120,BB_004,Blood_Bank,HOSP_030,Hospital,29.13,55.7,50,1.21,Active
RT_00121,BB_005,Blood_Bank,HOSP_001,Hospital,32.18,63.5,100,1.25,Active
RT_00122,BB_005,Blood_Bank,HOSP_002,Hospital,39.57,83.1,50,1.33,Active
RT_00123,BB_005,Blood_Bank,HOSP_003,Hospital,49.23,85.5,30,1.1,Active
RT_00124,BB_005,Blood_Bank,HOSP_004,Hospital,44.35,91.0,30,1.3,Active
RT_00125,BB_005,Blood_Bank,HOSP_005,Hospital,57.82,115.9,100,1.27,Active
RT_00126,BB_005,Blood_Bank,HOSP_006,Hospital,32.42,73.7,100,1.44,Active
RT_00127,BB_005,Blood_Bank,HOSP_007,Hospital,56.18,96.7,30,1.09,Active
RT_00128,BB_005,Blood_Bank,HOSP_008,Hospital,40.88,71.0,120,1.1,Active
RT_00129,BB_005,Blood_Bank,HOSP_009,Hospital,98.19,184.5,100,1.19,Active
RT_00130,BB_005,Blood_Bank,HOSP_010,Hospital,81.94,156.5,120,1.21,Active
RT_00131,BB_005,Blood_Bank,HOSP_011,Hospital,35.11,76.5,50,1.38,Active
RT_00132,BB_005,Blood_Bank,HOSP_012,Hospital,45.95,87.8,80,1.21,Active
RT_00133,BB_005,Blood_Bank,HOSP_013,Hospital,42.16,80.5,80,1.21,Active
RT_00134,BB_005,Blood_Bank,HOSP_014,Hospital,71.88,154.4,80,1.36,Active
RT_00135,BB_005,Blood_Bank,HOSP_015,Hospital,72.59,158.2,100,1.38,Active
RT_00136,BB_005,Blood_Bank,HOSP_016,Hospital,34.95,65.1,80,1.18,Active
RT_00137,BB_005,Blood_Bank,HOSP_017,Hospital,21.02,46.5,50,1.4,Active
RT_00138,BB_005,Blood_Bank,HOSP_018,Hospital,34.8,78.6,120,1.43,Active
RT_00139,BB_005,Blood_Bank,HOSP_019,Hospital,81.4,138.8,100,1.08,Active
RT_00140,BB_005,Blood_Bank,HOSP_020,Hospital,35.8,62.2,50,1.1,Active
RT_00141,BB_005,Blood_Bank,HOSP_021,Hospital,56.38,105.0,100,1.18,Active
RT_00142,BB_005,Blood_Bank,HOSP_022,Hospital,43.25,74.4,80,1.09,Active
RT_00143,BB_005,Blood_Bank,HOSP_023,Hospital,42.59,91.5,120,1.36,Disrupted
RT_00144,BB_005,Blood_Bank,HOSP_024,Hospital,44.52,97.0,50,1.38,Active
RT_00145,BB_005,Blood_Bank,HOSP_025,Hospital,19.87,33.9,30,1.08,Active
RT_00146,BB_005,Blood_Bank,HOSP_026,Hospital,23.94,52.2,100,1.38,Active
RT_00147,BB_005,Blood_Bank,HOSP_027,Hospital,52.83,106.8,80,1.28,Active
RT_00148,BB_005,Blood_Bank,HOSP_028,Hospital,30.4,67.7,30,1.41,Active
RT_00149,BB_005,Blood_Bank,HOSP_029,Hospital,57.8,108.6,80,1.19,Disrupted
RT_00150,BB_005,Blood_Bank,HOSP_030,Hospital,27.75,57.8,100,1.32,Active
RT_00151,BB_006,Blood_Bank,HOSP_001,Hospital,78.68,141.6,100,1.14,Active
RT_00152,BB_006,Blood_Bank,HOSP_002,Hospital,73.76,139.8,50,1.2,Active
RT_00153,BB_006,Blood_Bank,HOSP_003,Hospital,59.64,129.0,80,1.37,Active
RT_00154,BB_006,Blood_Bank,HOSP_004,Hospital,67.8,113.5,80,1.06,Active
RT_00155,BB_006,Blood_Bank,HOSP_005,Hospital,56.23,94.1,30,1.06,Active
RT_00156,BB_006,Blood_Bank,HOSP_006,Hospital,73.73,163.0,120,1.4,Active
RT_00157,BB_006,Blood_Bank,HOSP_007,Hospital,56.79,124.6,30,1.39,Active
RT_00158,BB_006,Blood_Bank,HOSP_008,Hospital,67.43,129.9,30,1.22,Active
RT_00159,BB_006,Blood_Bank,HOSP_009,Hospital,27.24,49.5,50,1.15,Active
RT_00160,BB_006,Blood_Bank,HOSP_010,Hospital,25.07,55.0,50,1.39,Active
RT_00161,BB_006,Blood_Bank,HOSP_011,Hospital,70.65,122.7,50,1.1,Active
